Date,Time,Lat,Lon,Wind,Pressure
23-Sep,09:00 GMT,13.9,-68.6,35,1006
23-Sep,15:00 GMT,14.2,-70.1,35,1006
23-Sep,21:00 GMT,14.7,-71.3,35,1006
24-Sep,00:00 GMT,14.8,-71.5,35,1006
24-Sep,03:00 GMT,14.8,-72,40,1005
24-Sep,06:00 GMT,14.7,-72.9,40,1005
24-Sep,09:00 GMT,14.7,-73.5,45,1003
24-Sep,12:00 GMT,14.2,-74.5,45,1004
24-Sep,15:00 GMT,14.4,-75.2,45,1003
24-Sep,18:00 GMT,14.2,-75.8,45,1003
24-Sep,21:00 GMT,14.3,-77,45,1003
25-Sep,00:00 GMT,14.6,-77.1,45,1002
25-Sep,03:00 GMT,14.7,-77.7,50,1002
25-Sep,06:00 GMT,14.7,-78.3,50,1002
25-Sep,09:00 GMT,14.9,-78.8,50,1002
25-Sep,12:00 GMT,15,-79.4,50,1001
25-Sep,15:00 GMT,15.2,-79.8,50,1001
25-Sep,18:00 GMT,15.7,-80,50,1001
25-Sep,21:00 GMT,16.2,-80.3,45,1003
26-Sep,00:00 GMT,17,-80.8,60,991
26-Sep,03:00 GMT,17.3,-81.4,65,989
26-Sep,06:00 GMT,17.7,-81.7,70,988
26-Sep,09:00 GMT,18.2,-82,75,983
26-Sep,12:00 GMT,18.7,-82.4,75,981
26-Sep,15:00 GMT,19.1,-82.7,80,980
26-Sep,18:00 GMT,19.7,-83,85,976
26-Sep,21:00 GMT,20.3,-83.2,100,972
27-Sep,00:00 GMT,20.8,-83.3,100,965
27-Sep,03:00 GMT,21.3,-83.4,105,962
27-Sep,06:00 GMT,21.7,-83.6,110,958
27-Sep,06:30 GMT,21.9,-83.6,115,956
27-Sep,08:30 GMT,22.2,-83.7,125,952
27-Sep,09:00 GMT,22.3,-83.7,125,952
27-Sep,12:00 GMT,22.6,-83.6,125,950
27-Sep,15:00 GMT,23,-83.5,115,963
27-Sep,16:00 GMT,23.2,-83.5,115,963
27-Sep,17:00 GMT,23.3,-83.4,115,961
27-Sep,18:00 GMT,23.5,-83.3,120,955
27-Sep,19:00 GMT,23.7,-83.3,120,952
27-Sep,20:00 GMT,23.8,-83.2,120,952
27-Sep,21:00 GMT,24,-83.2,120,952
27-Sep,22:00 GMT,24.1,-83.1,120,952
27-Sep,23:00 GMT,24.3,-83.1,120,947
28-Sep,00:00 GMT,24.4,-83,120,947
28-Sep,01:00 GMT,24.5,-83,120,947
28-Sep,02:00 GMT,24.6,-82.9,120,947
28-Sep,03:00 GMT,24.9,-82.9,120,952
28-Sep,04:00 GMT,24.9,-82.9,120,953
28-Sep,04:30 GMT,25,-82.9,120,953
28-Sep,05:00 GMT,25.1,-83,120,953
28-Sep,06:00 GMT,25.2,-83,120,953
28-Sep,07:00 GMT,25.3,-82.9,120,953
28-Sep,08:00 GMT,25.5,-82.9,120,953
28-Sep,09:00 GMT,25.6,-82.9,140,942
28-Sep,10:00 GMT,25.8,-82.8,140,941
28-Sep,10:35 GMT,25.9,-82.8,155,936
28-Sep,11:00 GMT,25.9,-82.8,155,937
28-Sep,12:00 GMT,26,-82.7,155,937
28-Sep,13:00 GMT,26.1,-82.7,155,937
28-Sep,14:00 GMT,26.2,-82.7,155,937
28-Sep,15:00 GMT,26.3,-82.5,155,937
28-Sep,16:00 GMT,26.4,-82.5,155,937
28-Sep,17:00 GMT,26.4,-82.4,155,937
28-Sep,18:00 GMT,26.6,-82.3,155,937
28-Sep,19:00 GMT,26.6,-82.2,155,937
28-Sep,19:10 GMT,26.7,-82.2,150,940
28-Sep,20:00 GMT,26.8,-82.1,145,942
28-Sep,20:35 GMT,26.8,-82,145,942
28-Sep,21:00 GMT,26.9,-82,140,945
28-Sep,22:00 GMT,27,-81.9,130,951
28-Sep,23:00 GMT,27.1,-81.8,125,955
29-Sep,00:00 GMT,27.2,-81.7,115,960
29-Sep,01:00 GMT,27.3,-81.6,105,965
29-Sep,02:00 GMT,27.4,-81.5,100,968
29-Sep,03:00 GMT,27.5,-81.4,90,972
29-Sep,06:00 GMT,27.7,-81.1,75,980
29-Sep,09:00 GMT,28,-80.9,65,986
29-Sep,12:00 GMT,28.5,-80.7,65,987
29-Sep,15:00 GMT,28.7,-80.4,70,987
29-Sep,18:00 GMT,28.9,-80,70,987
29-Sep,21:00 GMT,29.3,-79.9,75,986
30-Sep,00:00 GMT,29.7,-79.4,75,986
30-Sep,03:00 GMT,30.2,-79.3,80,986
30-Sep,03:15 GMT,30.2,-79.3,85,984
30-Sep,06:00 GMT,30.3,-79.2,85,984
30-Sep,09:00 GMT,30.8,-79.1,85,984
30-Sep,12:00 GMT,31.4,-79.1,85,984
30-Sep,15:00 GMT,32.4,-79,85,980
30-Sep,18:00 GMT,33.2,-79.1,85,977
30-Sep,18:15 GMT,33.3,-79.2,85,977
30-Sep,21:00 GMT,33.9,-79.2,70,982
1-Oct,00:00 GMT,34.7,-79.3,60,990
1-Oct,03:00 GMT,35.3,-79.5,50,994
1-Oct,06:00 GMT,35.4,-79.7,40,998
1-Oct,09:00 GMT,35.7,-79.8,35,1001
1-Oct,15:00 GMT,36.4,-79.9,25,1006
1-Oct,21:00 GMT,36.8,-78.8,25,1008
2-Oct,03:00 GMT,37.3,-78.2,15,1010
